userName,at,content
Pengguna Google,2025-05-10 14:36:04,lumayan waktu
Pengguna Google,2025-05-08 20:47:40,makasih ghensin dulu 2020 gua masih pake hp kentang ram 3 gb tapi sekarang udah pake 8 gb Rom 256 gb saya seneng bisa aminin akhir nya saya bisa cobain gamenidaman akuuu loveee you 😍😍😍😍
Pengguna Google,2025-05-07 19:07:39,yang aku mau la chanson malah dapat qiqi kalo masih up di benerin dulu lah kecewa saya
Pengguna Google,2025-05-07 05:53:39,game best kalo bisa main 😁
Pengguna Google,2025-05-06 20:11:07,Genshin Impact Grafik HD Fps 60 Karakter baru 2025 Event Baru 2025
Pengguna Google,2025-05-05 16:23:28,"Kenapa akun saya tiba tiba tidak bisa log in, Aduh parah nih, Udah beberapa hari engga bisa main, Tapi akunnya bisa masuk ke hoyolab, Pengen berhenti main wuwa, Mau Balik lagi main genshin, malah begini, Payah bener dah,"
Pengguna Google,2025-04-16 05:01:17,"udh game kikir,,game yapping,,muka NPC nya template pula,,masih bagusan game adek nya si zzz🫵😂"
Pengguna Google,2025-04-15 17:28:21,"ayolah jangan jean, aku mau xilonen, udh cape cape nguli, aku pemula hargain dikit😌"
Pengguna Google,2025-04-15 17:12:35,"Jangan Main game dev mihoyo buat kesehatan mental,dari dulu gak ada perkembangan dev cuma mingkirin cuan² mulu"
Pengguna Google,2025-04-15 15:55:50,"Game Kikir, gacha Ampas"
Pengguna Google,2025-04-15 15:36:47,kikir
Pengguna Google,2025-04-15 15:30:21,I hope i get 5 star good char
Pengguna Google,2025-04-15 12:55:57,game RPG terbaik.
Pengguna Google,2025-04-15 12:42:03,game nya bagus grafik oke alur cerita nya Compact
Pengguna Google,2025-04-15 09:41:15,Please add SHIELD BAR on char when played....
Pengguna Google,2025-04-15 08:27:52,kasih ak raiden
Pengguna Google,2025-04-15 06:17:44,ya bagus sih tapi kyk lama gitu nge download data nya trus sering keluar tiba tiba gitu jadi kyk sebel yaudah itu aja yg lainnya Bagu
Pengguna Google,2025-04-15 06:11:40,bagus dan seru
Pengguna Google,2025-04-15 06:01:01,saya suka gamenya tapi sekelas game open world udah cukup sekali bagusnya tapi jika ada event primogem plis sedikit ditambah jangan terlalu kikir
Pengguna Google,2025-04-15 04:54:26,game bacot banyak drama
Pengguna Google,2025-04-15 03:24:34,Can you revamp Yumemizuki Mizuki !!
Pengguna Google,2025-04-15 03:23:48,peak
Pengguna Google,2025-04-15 03:12:52,seruuu anjaay
Pengguna Google,2025-04-15 01:48:44,nice game
Pengguna Google,2025-04-15 00:45:18,mantap
Pengguna Google,2025-04-15 00:14:15,keren dan saya tidak menyesal men download nya
Pengguna Google,2025-04-14 23:40:09,"tolong Adain tombol skip,saya cape kebanyakan yappingnya"
Pengguna Google,2025-04-14 22:41:04,"gamenya bagus, plskasih ak hutao c6 sama raiden"
Pengguna Google,2025-04-14 22:40:37,berharap caraker B5 baru Cowok
Pengguna Google,2025-04-14 22:33:35,sangat bagus untuk petualangan nya saya suka
Pengguna Google,2025-04-14 22:31:11,game jelek gausah dimainin
Pengguna Google,2025-04-14 21:42:35,game yang bagus untuk dimainkan
Pengguna Google,2025-04-14 20:05:48,gw suka banget sama game pertualangan seperti ini
Pengguna Google,2025-04-14 19:57:53,game nya seru
Pengguna Google,2025-04-14 19:25:01,permainan nya seruuuuuuuuu
Pengguna Google,2025-04-14 18:57:49,kikir bet ajg
Pengguna Google,2025-04-14 18:31:37,penukaran Primo mahal
Pengguna Google,2025-04-14 18:16:19,"Mengunduh data lama banget pakek bangetz, gambar bagus, ada bahasa indonesianya, petualangan seru, naik levelnya itu susah. Game Genshin Impact emang paling seru sampai lupa waktu kaya kecanduan gitu. Tapi karang enggak main lagi biar fokus kerjain yang lain."
Pengguna Google,2025-04-14 18:14:12,ini GB nya kebanyakan jadi tolong di kecilin lagi GB nya klo sudah dibenarkan sya kasi bintang 5 deh
Pengguna Google,2025-04-14 17:45:08,keren
Pengguna Google,2025-04-14 17:31:47,bagus
Pengguna Google,2025-04-14 16:59:25,menarik
Pengguna Google,2025-04-14 16:55:38,Kebanyakan dialog dibanding aksi
Pengguna Google,2025-04-14 16:07:49,"bagus tapi tolong banget tambahkan fitur skip percakapan🙏, karena saya malas mengulangi nya, apalagi pas saya quest keluar aplikasi bentar langsung ngulang percakapan nya"
Pengguna Google,2025-04-14 15:51:58,wajib download 🗿
Pengguna Google,2025-04-14 14:58:16,CD NYA LAMA BANGET HP JADI PANA LAGI DI CEPETTIN YA CD
Pengguna Google,2025-04-14 14:47:25,"developer, tolong di percepat dw dalam ny dong... ini bisa memakan waktu 3 hri 3 mlm"
Pengguna Google,2025-04-14 13:39:51,aslinya gemnya bagus tapii dikurangi LOADINGNYA plisss banget
Pengguna Google,2025-04-14 13:38:59,bagus
Pengguna Google,2025-04-14 12:58:25,Permainan sangat seru
Pengguna Google,2025-04-14 12:05:02,bagus
Pengguna Google,2025-04-14 11:59:25,"terimakasih genshin impact telah menemani aku dan teman aku selama 5 tahun, sekarang saatnya aku fokus ke masa depan dan aku ucapkan selamat tinggal dan terimakasih"
Pengguna Google,2025-04-14 11:58:24,seru sekali
Pengguna Google,2025-04-14 11:36:57,"game RPG terbaik yg pernah ku mainkan,yaa meski diawal harus download data segede gaban tapi sepadan lah.ceritanya bagus, karakternya banyak,mapnya gede,dan bisa mabar.mantaplah"
Pengguna Google,2025-04-14 11:33:31,game menarik dan seru menyenangkan kan..
Pengguna Google,2025-04-14 11:19:39,bagus kok coba ajah sendiri
Pengguna Google,2025-04-14 10:34:57,sangat bagus tp lama menjelajahi peta nya hehe
Pengguna Google,2025-04-14 08:53:21,makasih dah bikin game sebagus inii
Pengguna Google,2025-04-14 08:21:07,"game terbaik sepanjang masa, ff, ml udah gak aman yahahhahahaha"
Pengguna Google,2025-04-14 08:20:47,qiqir bgt nih game aku nguli seharian Malah dpt qiqi
Pengguna Google,2025-04-14 08:02:16,👍🏼
Pengguna Google,2025-04-14 03:27:34,"semangat gensin jangan kalah sama game sebelah kalo ada yg bilang ceritanya kurang menarik gensin nya suruh buat ceritanya sendiri semangat dah update"" terbaru nya semoga makin berkembang"
Pengguna Google,2025-04-14 02:04:14,"PUAS BANGET, MASALAH SIGNAL AJA SIH YANG SELALU KUNING"
Pengguna Google,2025-04-14 01:19:08,singkat. seru
Pengguna Google,2025-04-14 00:36:22,GB telalu besar aku hanya kuat puluhan GB saja karena aku menggunakan HP
Pengguna Google,2025-04-14 00:21:37,"Hey developer, please add a skip story feature to shorten the time"
Pengguna Google,2025-04-13 23:12:38,kalian yang terburuk dari yg terburuk
Pengguna Google,2025-04-13 23:04:02,"tidak ada fitur skip story, dan battle nya masih kaku tidak seperti wuwa"
Pengguna Google,2025-04-13 21:44:39,game nya bagus sih cuma waktu download nya mau gua tabok co 🗿
Pengguna Google,2025-04-13 21:26:21,"bintang 1 dulu ya ini game udh kikir,kalah rate off kena hard pity terus, perkembangan gamenya lama.tolong konten endgamenya dipercepat waktunya,atau nggk nambah minimal"
Pengguna Google,2025-04-13 21:02:26,mantap walaupun kikir
